Date,portfolio_value,oex
2021-01-28,11338.191350257002,11551.366234769182
2021-01-29,11161.06077759526,11314.455539762803
2021-02-01,11113.337473983953,11495.44696118739
2021-02-02,11174.614330619439,11653.342994782737
2021-02-03,11172.731274834536,11680.343353048022
2021-02-04,11266.816204266477,11805.415500890816
2021-02-05,11324.182412453523,11846.246434008302
2021-02-08,11394.08653759749,11916.790363108128
2021-02-09,11377.761151212799,11896.342180102827
2021-02-10,11369.772723259051,11876.885992069696
2021-02-11,11350.63651981368,11888.268084217789
2021-02-12,11378.163822052858,11932.341580705213
2021-02-16,11309.405067018233,11925.988935378557
2021-02-17,11357.739644890276,11932.474062118436
2021-02-18,11185.150884383067,11871.85654524826
2021-02-19,11089.989709487489,11797.078057806326
2021-02-22,10998.464076265987,11679.54927238219
2021-02-23,10914.198491944451,11686.100639828679
2021-02-24,10868.720476327457,11807.401106462145
2021-02-25,10796.091811964263,11512.65258082275
2021-02-26,10676.354354524912,11457.859399253339
2021-03-01,10827.451213082277,11735.666460270319
2021-03-02,10769.29255228131,11632.034490404994
2021-03-03,10613.258064658283,11472.21909194493
2021-03-04,10515.714457320399,11341.058453788424
2021-03-05,10629.274784945555,11539.189254141762
2021-03-08,10661.037423019956,11441.778256003368
2021-03-09,10784.058361393836,11647.850670828522
2021-03-10,10892.661409578406,11711.843232481859
2021-03-11,10899.766560668522,11839.232189429034
2021-03-12,11020.771460201344,11824.540485390895
2021-03-15,10890.668330139648,11879.004079054244
2021-03-16,10892.204814521787,11894.42281523811
2021-03-17,10781.83989821231,11926.121416791777
2021-03-18,10647.546676244634,11731.364853408106
2021-03-19,10687.599049719296,11725.541325920838
2021-03-22,10782.232293573712,11832.680821982545
